OTU	p.value		
OTU_1	0.02		
OTU_1	0.03		
OTU_1	0.035		
OTU_1	0.015		
OTU_1	0.015		
OTU_1	0.045		
OTU_1	0.035		
OTU_1	0.005		
OTU_1	0.01		
OTU_1	0.035		
OTU_1	0.015		
OTU_1	0.015		
OTU_1	0.025		
OTU_1	0.005		
OTU_1	0.005		
OTU_1	0.025		
OTU_1	0.02		
OTU_1	0.035		
OTU_1	0.025		
OTU_1	0.03		
OTU_1	0.045		
OTU_1	0.02		
OTU_1	0.015		
OTU_1	0.025		
OTU_1	0.025		
OTU_1	0.015		
OTU_1	0.005		
OTU_1	0.015		
OTU_1	0.005		
OTU_1	0.015		
OTU_1	0.005		
OTU_1	0.04		
OTU_1	0.025		
OTU_1	0.01		
OTU_1	0.02		
OTU_1	0.015		
OTU_1	0.015		
OTU_1	0.02		
OTU_1	0.02		
OTU_1	0.015		
OTU_1	0.01		
OTU_1	0.03		
OTU_1	0.035		
OTU_1	0.015		
OTU_1	0.02		
OTU_1	0.015		
OTU_1	0.02		
OTU_1	0.04		
OTU_1	0.025		
OTU_1	0.025		
OTU_1	0.015		
OTU_1	0.02		
OTU_1	0.015		
OTU_1	0.02		
OTU_1	0.02		
OTU_1	0.015		
OTU_1	0.025		
OTU_1	0.02		
OTU_1	0.01		
OTU_1	0.015		
OTU_1	0.015		
OTU_1	0.03		
OTU_1	0.02		
OTU_1	0.015		
OTU_1	0.01		
OTU_1	0.02		
OTU_1	0.01		
OTU_1	0.02		
OTU_1	0.025		
OTU_1	0.015		
OTU_1	0.025		
OTU_1	0.035		
OTU_1	0.025		
OTU_1	0.025		
OTU_1	0.03		
OTU_1	0.02		
OTU_1	0.02		
OTU_1	0.005		
OTU_1	0.015		
OTU_1	0.025		
OTU_1	0.01		
OTU_1	0.015		
OTU_1	0.04		
OTU_1	0.045		
OTU_1	0.015		
OTU_1	0.03		
OTU_1	0.005		
OTU_1	0.025		
OTU_1	0.01		
OTU_1	0.025		
OTU_1	0.03		
OTU_1	0.01		
OTU_1	0.015		
OTU_1	0.025		
OTU_1	0.01		
OTU_1	0.035		
OTU_1	0.01		
OTU_1	0.02		
OTU_1	0.02		
OTU_1	0.04	100	0.02065
OTU_18	0.025		
OTU_18	0.04		
OTU_18	0.035		
OTU_18	0.02		
OTU_18	0.03		
OTU_18	0.04		
OTU_18	0.01		
OTU_18	0.025		
OTU_18	0.015		
OTU_18	0.04		
OTU_18	0.025		
OTU_18	0.02		
OTU_18	0.015		
OTU_18	0.035		
OTU_18	0.03		
OTU_18	0.02		
OTU_18	0.01		
OTU_18	0.025		
OTU_18	0.025		
OTU_18	0.015		
OTU_18	0.015		
OTU_18	0.005		
OTU_18	0.025		
OTU_18	0.015		
OTU_18	0.02		
OTU_18	0.015		
OTU_18	0.015		
OTU_18	0.015		
OTU_18	0.015		
OTU_18	0.03		
OTU_18	0.015		
OTU_18	0.02		
OTU_18	0.015		
OTU_18	0.035		
OTU_18	0.025		
OTU_18	0.035		
OTU_18	0.01		
OTU_18	0.01		
OTU_18	0.03		
OTU_18	0.04		
OTU_18	0.02		
OTU_18	0.045		
OTU_18	0.025		
OTU_18	0.025		
OTU_18	0.03		
OTU_18	0.015		
OTU_18	0.015		
OTU_18	0.035		
OTU_18	0.015		
OTU_18	0.02		
OTU_18	0.025		
OTU_18	0.025		
OTU_18	0.02		
OTU_18	0.02		
OTU_18	0.015		
OTU_18	0.035		
OTU_18	0.02		
OTU_18	0.025		
OTU_18	0.01		
OTU_18	0.04		
OTU_18	0.025		
OTU_18	0.02		
OTU_18	0.035		
OTU_18	0.015		
OTU_18	0.02		
OTU_18	0.03		
OTU_18	0.035		
OTU_18	0.015		
OTU_18	0.03		
OTU_18	0.005		
OTU_18	0.015		
OTU_18	0.025		
OTU_18	0.045		
OTU_18	0.025		
OTU_18	0.02		
OTU_18	0.01		
OTU_18	0.025		
OTU_18	0.015		
OTU_18	0.01		
OTU_18	0.015		
OTU_18	0.03		
OTU_18	0.04		
OTU_18	0.015		
OTU_18	0.015		
OTU_18	0.02		
OTU_18	0.02		
OTU_18	0.025		
OTU_18	0.02		
OTU_18	0.035		
OTU_18	0.005		
OTU_18	0.015		
OTU_18	0.03		
OTU_18	0.01		
OTU_18	0.035		
OTU_18	0.02		
OTU_18	0.01		
OTU_18	0.01		
OTU_18	0.04	98	0.022602041
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.01		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.01		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.01		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005		
OTU_2	0.005	100	0.00515
OTU_207	0.035		
OTU_207	0.03		
OTU_207	0.03		
OTU_207	0.03		
OTU_207	0.04		
OTU_207	0.035		
OTU_207	0.035		
OTU_207	0.04		
OTU_207	0.04		
OTU_207	0.035		
OTU_207	0.025		
OTU_207	0.02		
OTU_207	0.035		
OTU_207	0.03		
OTU_207	0.035		
OTU_207	0.045		
OTU_207	0.025		
OTU_207	0.03		
OTU_207	0.045		
OTU_207	0.04		
OTU_207	0.045		
OTU_207	0.04		
OTU_207	0.035		
OTU_207	0.035		
OTU_207	0.04		
OTU_207	0.045		
OTU_207	0.035		
OTU_207	0.035		
OTU_207	0.045		
OTU_207	0.03		
OTU_207	0.045		
OTU_207	0.03		
OTU_207	0.035		
OTU_207	0.03		
OTU_207	0.035		
OTU_207	0.025		
OTU_207	0.035		
OTU_207	0.03		
OTU_207	0.045		
OTU_207	0.04		
OTU_207	0.04		
OTU_207	0.045		
OTU_207	0.04		
OTU_207	0.045		
OTU_207	0.045		
OTU_207	0.04		
OTU_207	0.025		
OTU_207	0.045		
OTU_207	0.025		
OTU_207	0.03		
OTU_207	0.03		
OTU_207	0.045		
OTU_207	0.045		
OTU_207	0.045		
OTU_207	0.035		
OTU_207	0.03		
OTU_207	0.02		
OTU_207	0.045		
OTU_207	0.03	59	0.035932203
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.01		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005		
OTU_262	0.005	100	0.0057
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.01		
OTU_33	0.01		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.01		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005		
OTU_33	0.005	100	0.00515
OTU_466	0.03		
